Date,BTC,Energy,GPR
2022/06/10,0.019008796,-0.268231062,1.008034953
2022/06/11,0.095143584,-0.28390357,0.950975229
2022/06/12,0.124882505,-0.709250025,0.999728412
2022/06/13,-1.326106589,-0.554689664,0.997779533
2022/06/14,-1.332619515,-0.490134494,0.998337549
2022/06/15,-1.477664179,-0.345518557,1.167241362
2022/06/16,-1.244845808,-1.121815016,1.111917686
2022/06/17,-1.404389876,-1.432566612,1.131069669
2022/06/18,-1.327680186,-1.445476666,1.159016293
2022/06/19,-1.122165134,-1.442107477,1.057689067
2022/06/20,-1.115918333,-1.442832752,0.899488066
2022/06/21,-1.118559102,-0.944101011,0.919934062
2022/06/22,-1.134410707,-0.77863397,1.049182068
2022/06/23,-1.057236511,-0.64204363,1.124749591
2022/06/24,-1.071335078,-0.634871168,1.095689963
2022/06/25,-1.103870042,-0.636966131,1.099904004
2022/06/26,-1.103257169,-0.637654778,1.112508723
2022/06/27,-1.06747826,-0.653312737,0.92140621
2022/06/28,-1.006475297,-0.613429494,0.805952435
2022/06/29,-1.232239868,-0.490062538,0.957259887
2022/06/30,-1.201882453,-0.465577433,1.124754729
2022/07/01,-1.315452264,-0.456388739,1.106265647
2022/07/02,-1.317037564,-0.462832291,0.889319006
2022/07/03,-1.373522106,-0.453006774,0.786774024
2022/07/04,-1.285195527,-0.463084894,0.771421519
2022/07/05,-1.279361639,-0.419718273,0.650087496
2022/07/06,-1.370443293,-0.316523859,0.509839805
2022/07/07,-1.278413114,-0.222117312,0.496931278
2022/07/08,-1.35657246,-0.215322148,0.462561875
2022/07/09,-1.351050204,-0.295383572,0.454820019
2022/07/10,-1.351877762,-0.378387569,0.418947199
2022/07/11,-1.295681999,-0.433093593,0.575363165
2022/07/12,-1.372759896,-0.414897753,0.534533088
2022/07/13,-0.232588234,-0.485945647,0.54076595
2022/07/14,-0.308991823,-0.385049871,0.545512515
2022/07/15,-0.302566982,-0.465468729,0.470148767
2022/07/16,0.225975889,-0.535244733,0.519111199
2022/07/17,0.290716458,-0.461232181,0.478174181
2022/07/18,0.747286662,-0.481642451,0.405463887
2022/07/19,0.612830479,-0.476220428,0.338726612
2022/07/20,0.638950356,-0.496810801,0.422367724
2022/07/21,0.666205168,-0.550653853,0.469476285
2022/07/22,0.716031666,-0.59916351,0.462626209
2022/07/23,0.870829045,-0.720813478,0.533783673
2022/07/24,0.872985876,-0.731994371,0.585114539
2022/07/25,0.691476255,-0.735259491,0.494462661
2022/07/26,0.665460923,-0.664623242,0.370107475
2022/07/27,0.671565219,-0.638335832,0.492711787
2022/07/28,0.520711154,-0.666701952,0.640134891
2022/07/29,0.503985326,-0.531903815,0.661627325
2022/07/30,0.488975204,-0.591390658,0.544579324
2022/07/31,0.491267747,-0.536552627,0.483338041
