Date,BTC,Energy,GPR,,,
2022/01/07,-0.256980113,1.634002784,0.232273785,,,
2022/01/08,-0.007409094,2.007038741,0.060691611,,,
2022/01/09,0.00711674,2.05352462,0.03450275,,,
2022/01/10,0.315690453,2.236297123,-0.043140422,,,
2022/01/11,0.256260803,1.659703365,-0.094526266,,,
2022/01/12,0.007901314,1.472020808,-0.279774242,,,
2022/01/13,-0.199643637,1.476194609,-0.473344115,,,
2022/01/14,0.034356922,1.075543648,-0.361786347,,,
2022/01/15,0.215674973,1.339656662,-0.359397305,,,
2022/01/16,0.49241797,2.021788382,-0.385926853,,,
2022/01/17,0.419308552,2.06330768,-0.587309752,,,
2022/01/18,0.419482401,2.07757867,-0.559922553,,,
2022/01/19,0.342892967,2.107908803,-0.555842815,,,
2022/01/20,0.511112632,2.820068158,-0.410656597,,,
2022/01/21,3.524894158,2.121006302,-0.404161361,,,
2022/01/22,3.621002699,2.151749322,-0.431295666,,,
2022/01/23,3.133734046,2.124412464,-0.475576145,,,
2022/01/24,3.114383714,2.1568019,-0.43955258,,,
2022/01/25,3.110254714,1.719988379,-0.531769809,,,
2022/01/26,3.111701415,1.604493301,-0.394310787,,,
2022/01/27,4.378395734,1.503136604,-0.349291864,,,
2022/01/28,4.538763478,1.454955319,-0.324618982,,,
2022/01/29,4.631504525,1.501420334,-0.685165571,,,
2022/01/30,4.819682166,1.512251338,-0.376263143,,,
2022/01/31,5.205064849,1.563755036,-0.565246436,,,
2022/02/01,5.209296071,1.032216739,-0.490666498,,,
2022/02/02,4.284027809,1.068410932,-0.475623069,,,
2022/02/03,4.349261896,1.510886754,-0.408937862,,,
2022/02/04,4.322826157,1.137411171,-0.572287657,,,
2022/02/05,4.358433901,1.441202474,-0.680923284,,,
2022/02/06,4.700773709,1.814337715,-0.670504122,,,
2022/02/07,4.269802583,1.789500359,-0.779843777,,,
2022/02/08,4.26087533,1.227064778,-0.695587864,,,
2022/02/09,4.252677921,1.074438683,-0.567330334,,,
2022/02/10,4.314514358,1.63564062,-0.49707562,,,
2022/02/11,4.336732791,1.332494818,-0.414838168,,,
2022/02/12,4.730840891,1.254435412,-0.240902185,,,
2022/02/13,4.793262615,1.636079349,-0.206633737,,,
2022/02/14,4.756731934,1.534865271,-0.138948983,,,
2022/02/15,3.995269286,1.305757405,-0.02907865,,,
2022/02/16,4.076318923,1.112089001,0.293523666,,,
2022/02/17,2.779990981,1.088524337,0.352237998,,,
2022/02/18,2.79766048,0.957302262,0.363228934,,,
2022/02/19,2.973688663,1.097960513,0.177456398,,,
2022/02/20,3.236218496,1.683724273,0.053976136,,,
2022/02/21,3.330309112,1.705076335,-0.130577364,,,
2022/02/22,3.394035457,1.597551336,-0.270752388,,,
2022/02/23,3.178614952,1.569279559,-0.213472343,,,
2022/02/24,2.938476796,1.120385165,-0.089962742,,,
2022/02/25,2.76504036,0.839293303,-0.163422396,,,
2022/02/26,2.783050969,0.913560711,-0.2144645,,,
2022/02/27,2.484758242,0.966325021,-0.34543753,,,
2022/02/28,3.015218944,0.935563784,-0.54235647,,,
2022/03/01,2.869851438,0.915753091,-0.947251015,,,
2022/03/02,2.896897282,0.725344668,-0.844212846,,,
2022/03/03,2.670134336,0.799879592,-0.811701865,,,
2022/03/04,2.193743292,0.702154285,-0.795054407,,,
2022/03/05,2.191051307,0.69449507,-0.716618893,,,
2022/03/06,3.041656855,1.030895091,-0.684161791,,,
2022/03/07,3.01982195,0.989898844,-0.682955405,,,
2022/03/08,3.07579902,0.693331848,-0.523273198,,,
2022/03/09,2.336744069,0.307363202,-0.651684076,,,
2022/03/10,1.771297421,0.415735014,-0.639569344,,,
2022/03/11,1.730576313,0.474290475,-0.575771847,,,
2022/03/12,1.780786263,0.399346397,-0.665644871,,,
2022/03/13,1.776072689,0.705841329,-0.665401809,,,
2022/03/14,1.467410492,0.672000101,-0.743629626,,,
2022/03/15,1.457087167,0.366421533,-0.744398382,,,
2022/03/16,1.209738182,0.436427772,-0.719121709,,,
2022/03/17,1.474702047,0.434393825,-0.839362154,,,
2022/03/18,1.440797113,0.57695407,-0.839083387,,,
2022/03/19,2.139083604,0.453807478,-0.970596191,,,
2022/03/20,2.072634002,0.413842189,-1.031168164,,,
2022/03/21,2.070338981,0.273669525,-1.043005825,,,
2022/03/22,2.222772387,0.258587051,-0.916640491,,,
2022/03/23,2.441562612,-0.011189983,-0.769772993,,,
2022/03/24,2.526943848,0.048627632,-0.623996603,,,
2022/03/25,2.658707772,-0.191377774,-0.474694859,,,
2022/03/26,2.825372878,-0.102228685,-0.51427832,,,
2022/03/27,2.434223336,0.123658656,-0.537610847,,,
2022/03/28,2.426704077,0.069120631,-0.609349566,,,
2022/03/29,2.688217202,0.06247692,-0.487007878,,,
2022/03/30,0.796480876,-0.135584118,-0.640876824,,,
2022/03/31,0.725775661,-0.252035134,-0.606820416,,,
2022/04/01,0.688219724,-0.347727218,-0.716864053,,,
2022/04/02,0.911777661,-0.253741964,-0.672169529,,,
2022/04/03,1.020189998,-0.189811758,-0.683400104,,,
2022/04/04,1.030732971,-0.150514326,-0.817893031,,,
2022/04/05,1.058308741,-0.228176406,-0.736119684,,,
2022/04/06,0.604669441,-0.193348979,-0.681856668,,,
2022/04/07,0.672905926,-0.031478799,-0.807167612,,,
2022/04/08,0.058011887,0.029060964,-0.779238811,,,
2022/04/09,-0.033797872,0.175682547,-0.793335734,,,
2022/04/10,-0.007101789,0.168228403,-0.806366314,,,
2022/04/11,0.155672869,0.171546365,-0.781350015,,,
2022/04/12,0.281967452,0.034579945,-0.648559457,,,
2022/04/13,0.471042368,-0.090360374,-0.833185217,,,
2022/04/14,0.243470207,0.191938806,-0.809270226,,,
2022/04/15,0.545657693,0.19778259,-0.797838815,,,
2022/04/16,0.550279653,-0.2264656,-0.668107951,,,
2022/04/17,0.586425761,-0.237263407,-0.688058033,,,
2022/04/18,0.381145738,-0.073693296,-0.742226583,,,
2022/04/19,0.453570006,0.099557103,-0.590511011,,,
2022/04/20,0.456344084,0.25085344,-0.787804924,,,
2022/04/21,0.592129272,0.071142481,-0.911318632,,,
2022/04/22,0.513614693,0.385736635,-0.41521687,,,
2022/04/23,0.707792738,0.173376488,-0.403113577,,,
2022/04/24,0.739981042,0.302635421,0.753256784,,,
2022/04/25,0.529667011,0.175984981,3.826468529,,,
2022/04/26,0.67234451,0.275228853,3.73422033,,,
2022/04/27,0.435703027,0.180197342,4.033327733,,,
2022/04/28,0.393085347,0.085595048,4.112198952,,,
2022/04/29,0.187435564,0.076837684,4.042476228,,,
2022/04/30,0.293909671,0.243671392,4.02427661,,,
2022/05/01,0.258083695,0.338922141,2.988676154,,,
2022/05/02,0.282656317,0.336058247,2.760261862,,,
2022/05/03,0.211652899,0.092889898,2.496352174,,,
2022/05/04,-0.089953559,0.022562596,2.726431379,,,
2022/05/05,0.382584256,-0.007453791,2.81891055,,,
2022/05/06,0.741164976,-0.254818646,2.82191746,,,
2022/05/07,0.693165892,-0.462933753,2.506364023,,,
2022/05/08,0.543288562,-0.462196082,2.523433013,,,
2022/05/09,1.89836583,-0.625096749,2.324234132,,,
2022/05/10,1.814803104,-0.600408857,2.370071902,,,
2022/05/11,1.776823663,-0.699965078,2.414198332,,,
2022/05/12,1.825240103,-0.641264294,2.429635053,,,
